sequence,language,key,lvSource,current,ownerStatus,newValue,reason,placeholderTokens,htmlTags
139,lt,card.sessionLabel,Sesija,Sesija,NELABOT,,"Sesija ir standarta kognāts mērķvalodā (lt/bs) — apzināta sakritība ar LV, nevis neiztulkots teksts.",,
140,lt,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
141,lt,kurss.sections.grammar,Gramatika,Gramatika,NELABOT,,Gramatika ir pareizs kognāts mērķvalodā — apzināta sakritība ar LV gramatikas terminu.,,
142,lt,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
143,nb,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
144,nb,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
145,nl,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
146,nl,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
147,nn,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
148,nn,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
149,pl,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
150,sk,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
151,sl,kurss.lessonItems.1.title,Lekcija 1,Lekcija 1,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
152,sl,kurss.lessonItems.10.title,Lekcija 10,Lekcija 10,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
153,sl,kurss.lessonItems.11.title,Lekcija 11,Lekcija 11,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
154,sl,kurss.lessonItems.12.title,Lekcija 12,Lekcija 12,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
155,sl,kurss.lessonItems.13.title,Lekcija 13,Lekcija 13,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
156,sl,kurss.lessonItems.14.title,Lekcija 14,Lekcija 14,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
157,sl,kurss.lessonItems.15.title,Lekcija 15,Lekcija 15,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
158,sl,kurss.lessonItems.16.title,Lekcija 16,Lekcija 16,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
159,sl,kurss.lessonItems.17.title,Lekcija 17,Lekcija 17,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
160,sl,kurss.lessonItems.18.title,Lekcija 18,Lekcija 18,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
161,sl,kurss.lessonItems.19.title,Lekcija 19,Lekcija 19,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
162,sl,kurss.lessonItems.2.title,Lekcija 2,Lekcija 2,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
163,sl,kurss.lessonItems.20.title,Lekcija 20,Lekcija 20,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
164,sl,kurss.lessonItems.21.title,Lekcija 21,Lekcija 21,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
165,sl,kurss.lessonItems.3.title,Lekcija 3,Lekcija 3,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
166,sl,kurss.lessonItems.4.title,Lekcija 4,Lekcija 4,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
167,sl,kurss.lessonItems.5.title,Lekcija 5,Lekcija 5,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
168,sl,kurss.lessonItems.6.title,Lekcija 6,Lekcija 6,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
169,sl,kurss.lessonItems.7.title,Lekcija 7,Lekcija 7,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
170,sl,kurss.lessonItems.8.title,Lekcija 8,Lekcija 8,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
171,sl,kurss.lessonItems.9.title,Lekcija 9,Lekcija 9,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
172,sr,kurss.lessonItems.1.title,Lekcija 1,Lekcija 1,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
173,sr,kurss.lessonItems.10.title,Lekcija 10,Lekcija 10,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
174,sr,kurss.lessonItems.11.title,Lekcija 11,Lekcija 11,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
175,sr,kurss.lessonItems.12.title,Lekcija 12,Lekcija 12,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
176,sr,kurss.lessonItems.13.title,Lekcija 13,Lekcija 13,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
177,sr,kurss.lessonItems.14.title,Lekcija 14,Lekcija 14,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
178,sr,kurss.lessonItems.15.title,Lekcija 15,Lekcija 15,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
179,sr,kurss.lessonItems.16.title,Lekcija 16,Lekcija 16,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
180,sr,kurss.lessonItems.17.title,Lekcija 17,Lekcija 17,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
181,sr,kurss.lessonItems.18.title,Lekcija 18,Lekcija 18,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
182,sr,kurss.lessonItems.19.title,Lekcija 19,Lekcija 19,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
183,sr,kurss.lessonItems.2.title,Lekcija 2,Lekcija 2,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
184,sr,kurss.lessonItems.20.title,Lekcija 20,Lekcija 20,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
185,sr,kurss.lessonItems.21.title,Lekcija 21,Lekcija 21,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
186,sr,kurss.lessonItems.3.title,Lekcija 3,Lekcija 3,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
187,sr,kurss.lessonItems.4.title,Lekcija 4,Lekcija 4,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
188,sr,kurss.lessonItems.5.title,Lekcija 5,Lekcija 5,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
189,sr,kurss.lessonItems.6.title,Lekcija 6,Lekcija 6,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
190,sr,kurss.lessonItems.7.title,Lekcija 7,Lekcija 7,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
191,sr,kurss.lessonItems.8.title,Lekcija 8,Lekcija 8,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
192,sr,kurss.lessonItems.9.title,Lekcija 9,Lekcija 9,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
193,sv,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
194,sv,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
