sequence,language,key,lvSource,current,newValue,ownerStatus,placeholderTokens,htmlTags,reason
183,lb,study.sections.mainIdea,Galvenā doma,Galvenā doma,,PENDING,,,REAL_UNTRANSLATED
184,lb,study.sections.mistakes,Tipiskās kļūdas,Tipiskās kļūdas,,PENDING,,,REAL_UNTRANSLATED
185,lb,study.table.example,Piemērs,Piemērs,,PENDING,,,REAL_UNTRANSLATED
186,lb,study.table.mainMeaning,Galvenā nozīme,Galvenā nozīme,,PENDING,,,REAL_UNTRANSLATED
187,lb,study.table.meaning,Nozīme,Nozīme,,PENDING,,,REAL_UNTRANSLATED
188,lb,study.table.word,Vārds,Vārds,,PENDING,,,REAL_UNTRANSLATED
189,lb,tools.problemFull,Problemātiskie vārdi,Problemātiskie vārdi,,PENDING,,,REAL_UNTRANSLATED
190,lb,tools.problemWithCount,Problemātiskie vārdi ({count}),Problemātiskie vārdi ({count}),,PENDING,count,,REAL_UNTRANSLATED
191,lb,tools.spellingFull,Pareizrakstība,Pareizrakstība,,PENDING,,,REAL_UNTRANSLATED
192,lb,verb.guessInfinitive,Uzmini infinitīvu,Uzmini infinitīvu,,PENDING,,,REAL_UNTRANSLATED
193,lb,verb.guessPastParticiple,Uzmini pagātnes divdabi,Uzmini pagātnes divdabi,,PENDING,,,REAL_UNTRANSLATED
194,lb,verb.hintTapAnswer,"Klikšķini uz kartītes, lai redzētu atbildi.","Klikšķini uz kartītes, lai redzētu atbildi.",,PENDING,,,REAL_UNTRANSLATED
195,lb,verb.hintTapSwitch,"Klikšķini uz kartītes, lai pārslēgtu formu.","Klikšķini uz kartītes, lai pārslēgtu formu.",,PENDING,,,REAL_UNTRANSLATED
196,lb,verb.imperfectIndicative,Imperfekts - Indikatīvs,Imperfekts - Indikatīvs,,PENDING,,,REAL_UNTRANSLATED
197,lb,verb.imperfectSubjunctive,Imperfekts - Konjunktīvs,Imperfekts - Konjunktīvs,,PENDING,,,REAL_UNTRANSLATED
198,lb,verb.infinitive,Infinitīvs,Infinitīvs,,PENDING,,,REAL_UNTRANSLATED
199,lb,verb.noShuffleForms,Šim darbības vārdam nav pietiekami daudz formu jaukšanai.,Šim darbības vārdam nav pietiekami daudz formu jaukšanai.,,PENDING,,,REAL_UNTRANSLATED
200,lb,verb.pastParticiple,Pagātnes divdabis,Pagātnes divdabis,,PENDING,,,REAL_UNTRANSLATED
201,lb,verb.writeInfinitive,Uzraksti infinitīvu,Uzraksti infinitīvu,,PENDING,,,REAL_UNTRANSLATED
202,lb,verb.writePastParticiple,Uzraksti pagātnes divdabi,Uzraksti pagātnes divdabi,,PENDING,,,REAL_UNTRANSLATED
