sequence,key,current,newValue,before_json,before_ui,after_json,after_ui,repo_status,crowdin_status,crowdin_verified,verification_status
88,kurss.pronouns,Vietniekvārdi,Pronomen,Pronomen,Pronomen,Pronomen,Pronomen,already_applied,already_applied,YES,already_pass
89,kurss.pronounsDesc,"Nominativ, Akkusativ un Dativ formas.","Nominativ-, Akkusativ- an Dativformen.","Nominativ-, Akkusativ- an Dativformen.","Nominativ-, Akkusativ- an Dativformen.","Nominativ-, Akkusativ- an Dativformen.","Nominativ-, Akkusativ- an Dativformen.",already_applied,already_applied,YES,already_pass
90,kurss.pronounsSubtitle,"Nominativ, Akkusativ un Dativ — vietniekvārdu formas.","Nominativ, Akkusativ an Dativ — Pronomeformen.","Nominativ, Akkusativ an Dativ — Pronomeformen.","Nominativ, Akkusativ an Dativ — Pronomeformen.","Nominativ, Akkusativ an Dativ — Pronomeformen.","Nominativ, Akkusativ an Dativ — Pronomeformen.",already_applied,already_applied,YES,already_pass
91,kurss.pronunciationDesc,Vācu valodas skaņas un izrunas pamati.,Däitsch Lauter an d'Grondlage vun der Aussprooch.,Däitsch Lauter an d'Grondlage vun der Aussprooch.,Däitsch Lauter an d'Grondlage vun der Aussprooch.,Däitsch Lauter an d'Grondlage vun der Aussprooch.,Däitsch Lauter an d'Grondlage vun der Aussprooch.,already_applied,already_applied,YES,already_pass
92,kurss.pronunciationSubtitle,Vācu valodas skaņas un izrunas pamati,Däitsch Lauter an d'Grondlage vun der Aussprooch,Däitsch Lauter an d'Grondlage vun der Aussprooch,Däitsch Lauter an d'Grondlage vun der Aussprooch,Däitsch Lauter an d'Grondlage vun der Aussprooch,Däitsch Lauter an d'Grondlage vun der Aussprooch,already_applied,already_applied,YES,already_pass
93,kurss.sections.exercise,Vingrinājums,Übung,Übung,Übung,Übung,Übung,already_applied,already_applied,YES,already_pass
94,kurss.sections.exerciseCombined,Übung / Vingrinājums,Übung / Übung,Übung / Übung,Übung / Übung,Übung / Übung,Übung / Übung,already_applied,already_applied,YES,already_pass
95,kurss.sections.translate,Pārtulko,Iwwersetzen,Iwwersetzen,Iwwersetzen,Iwwersetzen,Iwwersetzen,already_applied,already_applied,YES,already_pass
96,kurss.sentenceStructure,Teikumu uzbūve,Sazstruktur,Sazstruktur,Sazstruktur,Sazstruktur,Sazstruktur,already_applied,already_applied,YES,already_pass
97,kurss.sentenceStructureDesc,Vienkārša vārdu secība vācu teikumos.,Einfach Wuertstellung an däitsche Sätz.,Einfach Wuertstellung an däitsche Sätz.,Einfach Wuertstellung an däitsche Sätz.,Einfach Wuertstellung an däitsche Sätz.,Einfach Wuertstellung an däitsche Sätz.,already_applied,already_applied,YES,already_pass
98,kurss.subtitle,Vācu valodas pamati soli pa solim,"Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt","Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt","Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt","Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt","Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt",already_applied,already_applied,YES,already_pass
99,kurss.tipBody,"Klausies, atkārto un salīdzini. Tava auss ir labākais skolotājs!","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!",already_applied,already_applied,YES,already_pass
100,kurss.verbBasics,Darbības vārdu pamati,Grondlage vun de Verben,Grondlage vun de Verben,Grondlage vun de Verben,Grondlage vun de Verben,Grondlage vun de Verben,already_applied,already_applied,YES,already_pass
101,kurss.verbBasicsDesc,"Personas, formas un biežākie darbības vārdi.","Persounen, Formen an déi heefegst Verben.","Persounen, Formen an déi heefegst Verben.","Persounen, Formen an déi heefegst Verben.","Persounen, Formen an déi heefegst Verben.","Persounen, Formen an déi heefegst Verben.",already_applied,already_applied,YES,already_pass
102,kurss.vowelsDesc,Garie un īsie patskaņi ar piemēriem.,Laang a kuerz Vokaler mat Beispiller.,Laang a kuerz Vokaler mat Beispiller.,Laang a kuerz Vokaler mat Beispiller.,Laang a kuerz Vokaler mat Beispiller.,Laang a kuerz Vokaler mat Beispiller.,already_applied,already_applied,YES,already_pass
103,kurss.vowelsSubtitle,Patskaņi — garš un īss,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,already_applied,already_applied,YES,already_pass
104,kurss.vowelsTitle,Patskaņi — garš un īss,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,Vokaler — laang a kuerz,already_applied,already_applied,YES,already_pass
105,lists.noLearned,Nav iemācīto vārdu.,Et gëtt keng geléiert Wierder.,Et gëtt keng geléiert Wierder.,Et gëtt keng geléiert Wierder.,Et gëtt keng geléiert Wierder.,Et gëtt keng geléiert Wierder.,already_applied,already_applied,YES,already_pass
106,lists.noMastered,Nav 100% zināmo vārdu.,Et gëtt keng zu 100 % bekannte Wierder.,Et gëtt keng zu 100 % bekannte Wierder.,Et gëtt keng zu 100 % bekannte Wierder.,Et gëtt keng zu 100 % bekannte Wierder.,Et gëtt keng zu 100 % bekannte Wierder.,already_applied,already_applied,YES,already_pass
107,lists.noUnwanted,Nav nevajadzīgo vārdu.,Et gëtt keng net gebraucht Wierder.,Et gëtt keng net gebraucht Wierder.,Et gëtt keng net gebraucht Wierder.,Et gëtt keng net gebraucht Wierder.,Et gëtt keng net gebraucht Wierder.,already_applied,already_applied,YES,already_pass
108,menu.chooseGroup,Izvēlies grupu,Wiel eng Grupp,Wiel eng Grupp,Wiel eng Grupp,Wiel eng Grupp,Wiel eng Grupp,already_applied,already_applied,YES,already_pass
109,menu.mainNav,Galvenā izvēlne,Haaptmenü,Haaptmenü,Haaptmenü,Haaptmenü,Haaptmenü,already_applied,already_applied,YES,already_pass
110,menu.sentences,Teikumi,Sätz,Sätz,Sätz,Sätz,Sätz,already_applied,already_applied,YES,already_pass
111,menu.verbs,Darbības vārdi,Verben,Verben,Verben,Verben,Verben,already_applied,already_applied,YES,already_pass
112,modes.intense,Intensīvs,Intensiv,Intensiv,Intensiv,Intensiv,Intensiv,already_applied,already_applied,YES,already_pass
113,modes.normal,Normāls,Normal,Normal,Normal,Normal,Normal,already_applied,already_applied,YES,already_pass
114,nav.backHome,Atgriezties galvenajā izvēlnē,Zeréck an den Haaptmenü,Zeréck an den Haaptmenü,Zeréck an den Haaptmenü,Zeréck an den Haaptmenü,Zeréck an den Haaptmenü,already_applied,already_applied,YES,already_pass
115,nav.changeLanguage,Mainīt dzimto valodu,Mammesprooch änneren,Mammesprooch änneren,Mammesprooch änneren,Mammesprooch änneren,Mammesprooch änneren,already_applied,already_applied,YES,already_pass
116,nav.howItWorks,Kā tas strādā?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,already_applied,already_applied,YES,already_pass
117,nav.quickTools,Ātrie rīki,Schnellwierkzeugen,Schnellwierkzeugen,Schnellwierkzeugen,Schnellwierkzeugen,Schnellwierkzeugen,already_applied,already_applied,YES,already_pass
118,notices.addedMastered,Vārds pievienots 100% zināmajiem.,D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.,D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.,D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.,D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.,D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.,already_applied,already_applied,YES,already_pass
119,notices.alreadyMastered,Vārds jau ir 100% zināmo sarakstā.,D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.,D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.,D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.,D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.,D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.,already_applied,already_applied,YES,already_pass
120,notices.answerRevealed,Atbilde atklāta. Vārds paliek sesijā.,Äntwert ugewisen. D'Wuert bleift an der Sessioun.,Äntwert ugewisen. D'Wuert bleift an der Sessioun.,Äntwert ugewisen. D'Wuert bleift an der Sessioun.,Äntwert ugewisen. D'Wuert bleift an der Sessioun.,Äntwert ugewisen. D'Wuert bleift an der Sessioun.,already_applied,already_applied,YES,already_pass
121,notices.chooseNextGroup,Izvēlies nākamo grupu galvenajā izvēlnē.,Wiel déi nächst Grupp am Haaptmenü.,Wiel déi nächst Grupp am Haaptmenü.,Wiel déi nächst Grupp am Haaptmenü.,Wiel déi nächst Grupp am Haaptmenü.,Wiel déi nächst Grupp am Haaptmenü.,already_applied,already_applied,YES,already_pass
122,notices.continueKnownReview,Turpinām zināmo vārdu pārskatīšanu.,Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.,Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.,Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.,Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.,Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.,already_applied,already_applied,YES,already_pass
123,notices.continueLastSession,Turpinām pēdējās sesijas pārskatīšanu.,Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.,Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.,Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.,Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.,Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.,already_applied,already_applied,YES,already_pass
124,notices.continueTimeReview,Turpinām: {label}.,Mir fuere weider: {label}.,Mir fuere weider: {label}.,Mir fuere weider: {label}.,Mir fuere weider: {label}.,Mir fuere weider: {label}.,already_applied,already_applied,YES,already_pass
125,notices.enterAnswerFirst,Vispirms ievadi pareizu atbildi un nospied Pārbaudīt.,Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.,Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.,Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.,Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.,Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.,already_applied,already_applied,YES,already_pass
126,notices.errorLevelReduced,Kļūdu pakāpe samazināta.,De Feelergrad gouf reduzéiert.,De Feelergrad gouf reduzéiert.,De Feelergrad gouf reduzéiert.,De Feelergrad gouf reduzéiert.,De Feelergrad gouf reduzéiert.,already_applied,already_applied,YES,already_pass
127,notices.knownReviewDone,Zināmo vārdu pārskatīšana pabeigta.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,already_applied,already_applied,YES,already_pass
128,notices.lastSessionDone,Pēdējās sesijas pārskatīšana pabeigta.,D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.,D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.,D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.,D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.,D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.,already_applied,already_applied,YES,already_pass
129,notices.leftForReview,Atstāts pārskatīšanai.,Fir d'Iwwerpréiwung gelooss.,Fir d'Iwwerpréiwung gelooss.,Fir d'Iwwerpréiwung gelooss.,Fir d'Iwwerpréiwung gelooss.,Fir d'Iwwerpréiwung gelooss.,already_applied,already_applied,YES,already_pass
130,notices.leftInProblems,Atstāts problemātiskajā grupā.,An der Grupp vun de Problemwierder gelooss.,An der Grupp vun de Problemwierder gelooss.,An der Grupp vun de Problemwierder gelooss.,An der Grupp vun de Problemwierder gelooss.,An der Grupp vun de Problemwierder gelooss.,already_applied,already_applied,YES,already_pass
131,notices.loadFailed,"Neizdevās ielādēt kartītes. Pārlādē lapu vai pārbaudi, vai visi datu faili ir pieejami.","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.",already_applied,already_applied,YES,already_pass
132,notices.markedKnown,Atzīmēts kā zināms.,Als bekannt markéiert.,Als bekannt markéiert.,Als bekannt markéiert.,Als bekannt markéiert.,Als bekannt markéiert.,already_applied,already_applied,YES,already_pass
133,notices.markedUnwanted,Vārds atzīmēts kā nevajadzīgs.,D'Wuert gouf als net gebraucht markéiert.,D'Wuert gouf als net gebraucht markéiert.,D'Wuert gouf als net gebraucht markéiert.,D'Wuert gouf als net gebraucht markéiert.,D'Wuert gouf als net gebraucht markéiert.,already_applied,already_applied,YES,already_pass
134,notices.movedToKnown,Vārds pārvietots uz Zināmi!,D'Wuert gouf bei Bekannt geréckelt!,D'Wuert gouf bei Bekannt geréckelt!,D'Wuert gouf bei Bekannt geréckelt!,D'Wuert gouf bei Bekannt geréckelt!,D'Wuert gouf bei Bekannt geréckelt!,already_applied,already_applied,YES,already_pass
135,notices.noCard,"Nav kartītes, ko atzīmēt.",Et gëtt keng Kaart fir ze markéieren.,Et gëtt keng Kaart fir ze markéieren.,Et gëtt keng Kaart fir ze markéieren.,Et gëtt keng Kaart fir ze markéieren.,Et gëtt keng Kaart fir ze markéieren.,already_applied,already_applied,YES,already_pass
136,notices.noCardForMastered,"Nav kartītes, ko pievienot 100% zināmajiem.",Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.,Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.,Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.,Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.,Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.,already_applied,already_applied,YES,already_pass
137,notices.noCardForUnwanted,"Nav kartītes, ko atzīmēt kā nevajadzīgu.",Et gëtt keng Kaart fir als net gebraucht ze markéieren.,Et gëtt keng Kaart fir als net gebraucht ze markéieren.,Et gëtt keng Kaart fir als net gebraucht ze markéieren.,Et gëtt keng Kaart fir als net gebraucht ze markéieren.,Et gëtt keng Kaart fir als net gebraucht ze markéieren.,already_applied,already_applied,YES,already_pass
138,notices.noCardToMark,"Nav kartīšu, ko atzīmēt.",Et gëtt keng Kaarte fir ze markéieren.,Et gëtt keng Kaarte fir ze markéieren.,Et gëtt keng Kaarte fir ze markéieren.,Et gëtt keng Kaarte fir ze markéieren.,Et gëtt keng Kaarte fir ze markéieren.,already_applied,already_applied,YES,already_pass
139,notices.noCompletedSession,"Nav pabeigtas sesijas, ko pārskatīt.",Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.,Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.,Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.,Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.,Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.,already_applied,already_applied,YES,already_pass
140,notices.noProblems,Nav problemātisko vārdu.,Et gëtt keng Problemwierder.,Et gëtt keng Problemwierder.,Et gëtt keng Problemwierder.,Et gëtt keng Problemwierder.,Et gëtt keng Problemwierder.,already_applied,already_applied,YES,already_pass
141,notices.noVerbToMark,"Nav darbības vārdu, ko atzīmēt.",Et gëtt kee Verb fir ze markéieren.,Et gëtt kee Verb fir ze markéieren.,Et gëtt kee Verb fir ze markéieren.,Et gëtt kee Verb fir ze markéieren.,Et gëtt kee Verb fir ze markéieren.,already_applied,already_applied,YES,already_pass
142,notices.problemModeOff,Problemātisko vārdu režīms izslēgts.,De Modus fir Problemwierder ass ausgeschalt.,De Modus fir Problemwierder ass ausgeschalt.,De Modus fir Problemwierder ass ausgeschalt.,De Modus fir Problemwierder ass ausgeschalt.,De Modus fir Problemwierder ass ausgeschalt.,already_applied,already_applied,YES,already_pass
143,notices.problemsFinishedMoved,Problemātiskie vārdi izmācīti. Vārds pārvietots uz Zināmi!,D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!,D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!,D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!,D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!,D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!,already_applied,already_applied,YES,already_pass
144,notices.returnedToStudy,Atgriezts mācīšanās režīmā.,Zeréck an de Léiermodus gesat.,Zeréck an de Léiermodus gesat.,Zeréck an de Léiermodus gesat.,Zeréck an de Léiermodus gesat.,Zeréck an de Léiermodus gesat.,already_applied,already_applied,YES,already_pass
145,notices.sessionArchived,Pēdējā sesija atzīmēta kā iemācīta.,Déi lescht Sessioun gouf als geléiert markéiert.,Déi lescht Sessioun gouf als geléiert markéiert.,Déi lescht Sessioun gouf als geléiert markéiert.,Déi lescht Sessioun gouf als geléiert markéiert.,Déi lescht Sessioun gouf als geléiert markéiert.,already_applied,already_applied,YES,already_pass
146,notices.sessionArchivedNext,Pēdējā sesija atzīmēta kā iemācīta. Ielādēta nākamā sesija.,Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.,Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.,Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.,Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.,Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.,already_applied,already_applied,YES,already_pass
147,notices.sessionMovedToKnown,Sesijas vārdi pārvietoti uz zināmajiem.,D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.,D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.,D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.,D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.,D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.,already_applied,already_applied,YES,already_pass
148,notices.sessionReloaded,Sesija ielādēta no jauna ar jauktu secību.,D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.,D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.,D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.,D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.,D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.,already_applied,already_applied,YES,already_pass
149,notices.showingKnown,Rādām zināmās kartītes.,Déi bekannt Kaarte ginn ugewisen.,Déi bekannt Kaarte ginn ugewisen.,Déi bekannt Kaarte ginn ugewisen.,Déi bekannt Kaarte ginn ugewisen.,Déi bekannt Kaarte ginn ugewisen.,already_applied,already_applied,YES,already_pass
150,notices.showingLastSession,Rādām pēdējo pabeigto sesiju.,Déi lescht ofgeschloss Sessioun gëtt ugewisen.,Déi lescht ofgeschloss Sessioun gëtt ugewisen.,Déi lescht ofgeschloss Sessioun gëtt ugewisen.,Déi lescht ofgeschloss Sessioun gëtt ugewisen.,Déi lescht ofgeschloss Sessioun gëtt ugewisen.,already_applied,already_applied,YES,already_pass
151,notices.showingProblems,Rādām problemātiskos vārdus.,D'Problemwierder ginn ugewisen.,D'Problemwierder ginn ugewisen.,D'Problemwierder ginn ugewisen.,D'Problemwierder ginn ugewisen.,D'Problemwierder ginn ugewisen.,already_applied,already_applied,YES,already_pass
152,notices.showingTimeReview,Rādām: {label}.,Ugewisen: {label}.,Ugewisen: {label}.,Ugewisen: {label}.,Ugewisen: {label}.,Ugewisen: {label}.,already_applied,already_applied,YES,already_pass
153,notices.spellingOff,Pareizrakstības režīms izslēgts.,De Rechtschreiwungsmodus ass ausgeschalt.,De Rechtschreiwungsmodus ass ausgeschalt.,De Rechtschreiwungsmodus ass ausgeschalt.,De Rechtschreiwungsmodus ass ausgeschalt.,De Rechtschreiwungsmodus ass ausgeschalt.,already_applied,already_applied,YES,already_pass
154,notices.spellingOn,Pareizrakstības režīms ieslēgts.,De Rechtschreiwungsmodus ass ageschalt.,De Rechtschreiwungsmodus ass ageschalt.,De Rechtschreiwungsmodus ass ageschalt.,De Rechtschreiwungsmodus ass ageschalt.,De Rechtschreiwungsmodus ass ageschalt.,already_applied,already_applied,YES,already_pass
155,notices.verbMarkedKnown,Darbības vārds atzīmēts kā zināms.,D'Verb gouf als bekannt markéiert.,D'Verb gouf als bekannt markéiert.,D'Verb gouf als bekannt markéiert.,D'Verb gouf als bekannt markéiert.,D'Verb gouf als bekannt markéiert.,already_applied,already_applied,YES,already_pass
156,notices.verbShuffleOff,Darbības vārdu jaukšana izslēgta.,D'Mësche vun de Verben ass ausgeschalt.,D'Mësche vun de Verben ass ausgeschalt.,D'Mësche vun de Verben ass ausgeschalt.,D'Mësche vun de Verben ass ausgeschalt.,D'Mësche vun de Verben ass ausgeschalt.,already_applied,already_applied,YES,already_pass
157,notices.verbShuffleOn,Darbības vārdu jaukšana ieslēgta.,D'Mësche vun de Verben ass ageschalt.,D'Mësche vun de Verben ass ageschalt.,D'Mësche vun de Verben ass ageschalt.,D'Mësche vun de Verben ass ageschalt.,D'Mësche vun de Verben ass ageschalt.,already_applied,already_applied,YES,already_pass
158,plural.wordOne,vārds,Wuert,Wuert,Wuert,Wuert,Wuert,already_applied,already_applied,YES,already_pass
159,plural.wordsFew,vārdi,Wierder,Wierder,Wierder,Wierder,Wierder,already_applied,already_applied,YES,already_pass
160,plural.wordsMany,vārdi,Wierder,Wierder,Wierder,Wierder,Wierder,already_applied,already_applied,YES,already_pass
161,progress.verbsHeading,Darbības vārdi,Verben,Verben,Verben,Verben,Verben,already_applied,already_applied,YES,already_pass
162,restore.ariaLabel,Apstiprināt visu progressa dzēšanu,D'Läsche vum ganze Fortschrëtt bestätegen,D'Läsche vum ganze Fortschrëtt bestätegen,D'Läsche vum ganze Fortschrëtt bestätegen,D'Läsche vum ganze Fortschrëtt bestätegen,D'Läsche vum ganze Fortschrëtt bestätegen,already_applied,already_applied,YES,already_pass
163,restore.warning,Uzmanību! Viss iemācītais progress un vārdu vēsture tiks pilnībā nodzēsta pa nullēm.,Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.,Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.,Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.,Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.,Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.,already_applied,already_applied,YES,already_pass
164,review.knownReviewDone,Zināmo vārdu pārskatīšana pabeigta.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.,already_applied,already_applied,YES,already_pass
165,review.monthCount,Šomēnes iemācīti: {count} {words},Dëse Mount geléiert: {count} {words},Dëse Mount geléiert: {count} {words},Dëse Mount geléiert: {count} {words},Dëse Mount geléiert: {count} {words},Dëse Mount geléiert: {count} {words},already_applied,already_applied,YES,already_pass
166,review.monthDone,Mēneša pārskats pabeigts.,D'Mountsiwwersiicht ass ofgeschloss.,D'Mountsiwwersiicht ass ofgeschloss.,D'Mountsiwwersiicht ass ofgeschloss.,D'Mountsiwwersiicht ass ofgeschloss.,D'Mountsiwwersiicht ass ofgeschloss.,already_applied,already_applied,YES,already_pass
167,review.monthEmpty,Nav iemācītu vārdu mēneša pārskatam.,Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.,Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.,Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.,Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.,Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.,already_applied,already_applied,YES,already_pass
168,review.monthLabel,Mēneša pārskats,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,already_applied,already_applied,YES,already_pass
169,review.weekCount,Šonedēļ iemācīti: {count} {words},Dës Woch geléiert: {count} {words},Dës Woch geléiert: {count} {words},Dës Woch geléiert: {count} {words},Dës Woch geléiert: {count} {words},Dës Woch geléiert: {count} {words},already_applied,already_applied,YES,already_pass
170,review.weekDone,Nedēļas pārskats pabeigts.,D'Wocheniwwersiicht ass ofgeschloss.,D'Wocheniwwersiicht ass ofgeschloss.,D'Wocheniwwersiicht ass ofgeschloss.,D'Wocheniwwersiicht ass ofgeschloss.,D'Wocheniwwersiicht ass ofgeschloss.,already_applied,already_applied,YES,already_pass
171,review.weekEmpty,Nav iemācītu vārdu nedēļas pārskatam.,Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.,Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.,Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.,Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.,Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.,already_applied,already_applied,YES,already_pass
172,review.weekLabel,Nedēļas pārskats,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,already_applied,already_applied,YES,already_pass
173,spelling.missingChar,trūkst: {char},feelt: {char},feelt: {char},feelt: {char},feelt: {char},feelt: {char},already_applied,already_applied,YES,already_pass
174,spelling.noVerbTask,Šim darbības vārdam nav pareizrakstības uzdevuma.,Et gëtt keng Rechtschreiwungsübung fir dëst Verb.,Et gëtt keng Rechtschreiwungsübung fir dëst Verb.,Et gëtt keng Rechtschreiwungsübung fir dëst Verb.,Et gëtt keng Rechtschreiwungsübung fir dëst Verb.,Et gëtt keng Rechtschreiwungsübung fir dëst Verb.,already_applied,already_applied,YES,already_pass
175,study.hints.tapToOpenExplanation,"Klikšķini uz kartītes, lai atvērtu skaidrojumu.","Klick op d'Kaart, fir d'Erklärung opzemaachen.","Klick op d'Kaart, fir d'Erklärung opzemaachen.","Klick op d'Kaart, fir d'Erklärung opzemaachen.","Klick op d'Kaart, fir d'Erklärung opzemaachen.","Klick op d'Kaart, fir d'Erklärung opzemaachen.",already_applied,already_applied,YES,already_pass
