sample_id,sample_type,review_track,language,audit_id,finding_stable_id,card_object_id,field_path,flat_key,lv_source_value,de_reference_value,crowdin_target_value,luna_category,luna_severity,luna_reason,canonical_review_bucket,audit_status,audit_rationale,linked_to_staging
FLAG-et-semantic-DISC-G2-A1-ET-L0001,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0001,g2/a1/et|natürlich|idx:433|study.tip[1]|MEANING_ERROR|gpt-5.6-luna,natürlich|idx:433,study.tip[1],a1.card.a1-natuerlich.study.tip[1],"Blakus lietvārdam, aprakstot izcelsmi vai īpašību → dabisks.","Blakus lietvārdam, aprakstot izcelsmi vai īpašību → dabisks.","Nimisõna kõrval, kirjeldades päritolu või omadust → looduslik.",,MEDIUM,study.tip[1],SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-et-semantic-DISC-G2-A1-ET-L0001,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0001,g2/a1/et|an|idx:12|study.comparison[1].meaning|MEANING_ERROR|gpt-5.6-luna,an|idx:12,study.comparison[1].meaning,a1.card.a1-an.study.comparison[1].meaning,uz horizontālas virsmas,uz horizontālas virsmas,vertikaalse pinna juures,,MEDIUM,study.comparison[1].meaning,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-et-multi-G2A1P3-ET-0004,FLAGGED,TARGET_LANGUAGE,et,G2A1P3-ET-0004,g2/a1/et|a1-an|a1.card.a1-an.native|MULTI_TRANSLATION|deterministic/multi-translation,a1-an,a1.card.a1-an.native,a1.card.a1-an.native,pie,an,juures • peal • ligi,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,LIKELY_REAL_ERROR,Multiple meanings in primary native translation field (• delimiter) likely violates one-card-one-meaning convention.,true
FLAG-et-missing-DISC-G2-A1-ET-L0006,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0006,g2/a1/et|Kirche|idx:316|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Kirche|idx:316,lv,a1.card.kirche.native,baznīca,Kirche,kirik,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-et-grammar_ortho-DISC-G2-A1-ET-L0002,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0002,g2/a1/et|aber|idx:21|study.examples[].lv|ORTHOGRAPHY|gpt-5.6-luna,aber|idx:21,study.examples[].lv,a1.card.a1-aber.study.examples[0].native,"es gribu nākt līdzi, bet man nav laika.","es gribu nākt līdzi, bet man nav laika.","ma tahan kaasa tulla, aga mul ei ole aega.",,LOW,study.examples[].lv,ORTHOGRAPHY_SPELLING_OR_DIACRITICS,LIKELY_REAL_ERROR,Grammar/orthography bucket (ORTHOGRAPHY_SPELLING_OR_DIACRITICS) with non-empty divergent target; likely needs human review.,true
FLAG-et-other-DISC-G2-A1-ET-L0004,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0004,"g2/a1/et|die|idx:137|lv, study.translation, study.examples[].lv, study.important[]|LANGUAGE_MISMATCH|gpt-5.6-luna",die|idx:137,"lv, study.translation, study.examples[].lv, study.important[]",a1.card.a1-die.native,sieviešu dzimtes noteiktais artikuls,die,naissoo määrav artikkel,,HIGH,"lv, study.translation, study.examples[].lv, study.important[]",WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fi-wrong_or_mixed-DISC-G2-A1-FI-L0007,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0007,g2/a1/fi|Tante|idx:587|lv|WRONG_LANGUAGE|gpt-5.6-luna,Tante|idx:587,lv,a1.card.tante.native,tante,Tante,Tädi,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fi-wrong_or_mixed-DISC-G2-A1-FI-L0005,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0005,g2/a1/fi|Zug|idx:671|lv; study.translation; study.explanation; study.tip; study.important|WRONG_LANGUAGE|gpt-5.6-luna,Zug|idx:671,lv; study.translation; study.explanation; study.tip; study.important,a1.card.a1-zug.native,vilciens,Zug,Rong,,HIGH,lv; study.translation; study.explanation; study.tip; study.important,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fi-semantic-DISC-G2-A1-FI-L0015,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0015,g2/a1/fi|beginnen|idx:77|lv|LINGUISTIC_ERROR|gpt-5.6-luna,beginnen|idx:77,lv,a1.card.beginnen.native,sākt,beginnen,Alustama,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-fi-semantic-DISC-G2-A1-FI-L0012,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0012,g2/a1/fi|Baum|idx:74|lv|LINGUISTIC_ERROR|gpt-5.6-luna,Baum|idx:74,lv,a1.card.baum.native,koks,Baum,Puu,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-fi-multi-G2A1P3-FI-0083,FLAGGED,TARGET_LANGUAGE,fi,G2A1P3-FI-0083,g2/a1/fi|a1-machen|a1.card.a1-machen.native|MULTI_TRANSLATION|deterministic/multi-translation,a1-machen,a1.card.a1-machen.native,a1.card.a1-machen.native,darīt • taisīt,machen,Tegema • Valmistama,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,LIKELY_REAL_ERROR,Multiple meanings in primary native translation field (• delimiter) likely violates one-card-one-meaning convention.,true
FLAG-fi-missing-G2A1P3-FI-0037,FLAGGED,TARGET_LANGUAGE,fi,G2A1P3-FI-0037,g2/a1/fi|a1-fahren|a1.card.a1-fahren.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-fahren,a1.card.a1-fahren.study.translation,a1.card.a1-fahren.study.translation,braukt,braukt,Sõitma • Vedama • Ära viima,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-fi-grammar_ortho-DISC-G2-A1-FI-L0015,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0015,g2/a1/fi|gelb|idx:228|lv|WRONG_LANGUAGE|gpt-5.6-luna,gelb|idx:228,lv,a1.card.gelb.native,dzeltens,gelb,Kollane,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fi-other-DISC-G2-A1-FI-L0003,FLAGGED,TARGET_LANGUAGE,fi,DISC-G2-A1-FI-L0003,g2/a1/fi|groß|idx:250|lv/study|LANGUAGE_MISMATCH|gpt-5.6-luna,groß|idx:250,lv/study,a1.card.a1-gross-study.native,liels,groß,Suur,,HIGH,lv/study,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fr-wrong_or_mixed-DISC-G2-A1-FR-L0004,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0004,g2/a1/fr|nennen|idx:437|lv|WRONG_LANGUAGE|gpt-5.6-luna,nennen|idx:437,lv,a1.card.nennen.native,nosaukt,nennen,Pour nommer,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fr-wrong_or_mixed-DISC-G2-A1-FR-L0001,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0001,"g2/a1/fr|schwimmen|idx:531|lv, study.translation, study.explanation, study.examples, study.comparison, study.important|TARGET_LANGUAGE_ERROR|gpt-5.6-luna",schwimmen|idx:531,"lv, study.translation, study.explanation, study.examples, study.comparison, study.important",a1.card.a1-schwimmen.native,peldēt,schwimmen,Nager,,HIGH,"lv, study.translation, study.explanation, study.examples, study.comparison, study.important",WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-fr-semantic-DISC-G2-A1-FR-L0003,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0003,g2/a1/fr|morgen|idx:417|study.explanation|SEMANTIC_ERROR|gpt-5.6-luna,morgen|idx:417,study.explanation,a1.card.a1-morgen.study.explanation[0],Galvenā doma: Laika apstāklis ar mazo burtu. Nozīmē nākamo dienu — rīt.,Galvenā doma: Laika apstāklis ar mazo burtu. Nozīmē nākamo dienu — rīt.,Idée principale : L’adverbe de temps est en minuscule. Cela signifie le lendemain – demain.,,HIGH,study.explanation,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-fr-semantic-DISC-G2-A1-FR-L0004,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0004,g2/a1/fr|gut|idx:259|study.explanation[0]|MISTRANSLATION|gpt-5.6-luna,gut|idx:259,study.explanation[0],a1.card.a1-gut-study.study.explanation[0],"Galvenā doma: gut ir īpašības/apstākļa vārds — labs, veiksmīgi, kārtībā.","Galvenā doma: gut ir īpašības/apstākļa vārds — labs, veiksmīgi, kārtībā.","Idée principale : intestin est un adjectif/adverbe : bon, réussi, d'accord.",,HIGH,study.explanation[0],SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-fr-multi-G2A1P3-FR-0109,FLAGGED,TARGET_LANGUAGE,fr,G2A1P3-FR-0109,g2/a1/fr|a1-oder|a1.card.a1-oder.native|MULTI_TRANSLATION|deterministic/multi-translation,a1-oder,a1.card.a1-oder.native,a1.card.a1-oder.native,vai • jeb,oder,Ou • Ou,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,LIKELY_REAL_ERROR,Multiple meanings in primary native translation field (• delimiter) likely violates one-card-one-meaning convention.,true
FLAG-fr-missing-G2A1P3-FR-0046,FLAGGED,TARGET_LANGUAGE,fr,G2A1P3-FR-0046,g2/a1/fr|a1-finden|a1.card.a1-finden.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-finden,a1.card.a1-finden.study.translation,a1.card.a1-finden.study.translation,atrast,atrast,Trouver • Considérer,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-fr-grammar_ortho-DISC-G2-A1-FR-L0002,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0002,g2/a1/fr|antworten|idx:36|lv|GRAMMAR|gpt-5.6-luna,antworten|idx:36,lv,a1.card.antworten.native,atbildēt,antworten,Pour répondre,,MEDIUM,lv,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-fr-other-DISC-G2-A1-FR-L0003,FLAGGED,TARGET_LANGUAGE,fr,DISC-G2-A1-FR-L0003,g2/a1/fr|bekommen|idx:82|lv|STYLE_ONLY|gpt-5.6-luna,bekommen|idx:82,lv,a1.card.bekommen.native,saņemt,bekommen,Pour recevoir,,LOW,lv,STYLE_FLUENCY_OR_REGISTER,LIKELY_REAL_ERROR,Other bucket (STYLE_FLUENCY_OR_REGISTER) flagged with resolvable staging context.,true
FLAG-gr-wrong_or_mixed-DISC-G2-A1-GR-L0003,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0003,g2/a1/gr|Kilogramm|idx:312|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Kilogramm|idx:312,lv,a1.card.kilogramm.native,kilograms,Kilogramm,Χιλιόγραμμο,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-gr-wrong_or_mixed-DISC-G2-A1-GR-L0025,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0025,g2/a1/gr|Giraffe|idx:240|lv|LANGUAGE_MISMATCH|gpt-5.6-luna,Giraffe|idx:240,lv,a1.card.giraffe.native,žirafe,Giraffe,Μια καμηλοπάρδαλη,,CRITICAL,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-gr-semantic-DISC-G2-A1-GR-L0015,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0015,g2/a1/gr|Teller|idx:595|lv|MISTRANSLATION|gpt-5.6-luna,Teller|idx:595,lv,a1.card.teller.native,šķīvis,Teller,Πλάκα,,CRITICAL,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-gr-semantic-DISC-G2-A1-GR-L0001,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0001,g2/a1/gr|Bad|idx:64|lv|TRANSLATION_ERROR|gpt-5.6-luna,Bad|idx:64,lv,a1.card.bad.native,vannas istaba,Bad,Τουαλέτα,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-gr-multi-G2A1P3-GR-0062,FLAGGED,TARGET_LANGUAGE,gr,G2A1P3-GR-0062,g2/a1/gr|a1-halten|a1.card.a1-halten.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-halten,a1.card.a1-halten.study.translation,a1.card.a1-halten.study.translation,turēt,turēt,Κρατήστε • Σταματήστε,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-gr-missing-DISC-G2-A1-GR-L0001,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0001,g2/a1/gr|zum|idx:672|lv; study.translation; study.explanation; study.examples[].lv; study.comparison|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,zum|idx:672,lv; study.translation; study.explanation; study.examples[].lv; study.comparison,a1.card.a1-zum.native,uz • pie,zum,Να • Να,,HIGH,lv; study.translation; study.explanation; study.examples[].lv; study.comparison,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-gr-grammar_ortho-DISC-G2-A1-GR-L0001,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0001,g2/a1/gr|nennen|idx:437|lv|GRAMMAR|gpt-5.6-luna,nennen|idx:437,lv,a1.card.nennen.native,nosaukt,nennen,Για να ονομάσουμε,,MEDIUM,lv,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-gr-other-DISC-G2-A1-GR-L0002,FLAGGED,TARGET_LANGUAGE,gr,DISC-G2-A1-GR-L0002,g2/a1/gr|Eis|idx:157|lv; study.translation; study.explanation; study.examples; study.comparison; study.important|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,Eis|idx:157,lv; study.translation; study.explanation; study.examples; study.comparison; study.important,a1.card.a1-eis.native,ledus • saldējums,Eis,Παγωτό • Παγωτό,,HIGH,lv; study.translation; study.explanation; study.examples; study.comparison; study.important,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-hr-wrong_or_mixed-DISC-G2-A1-HR-L0015,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0015,g2/a1/hr|morgens|idx:419|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,morgens|idx:419,lv,a1.card.morgens.native,no rīta,morgens,На сутринта,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-hr-wrong_or_mixed-DISC-G2-A1-HR-L0024,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0024,g2/a1/hr|Mehl|idx:399|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Mehl|idx:399,lv,a1.card.mehl.native,milti,Mehl,Брашно,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-hr-semantic-DISC-G2-A1-HR-L0024,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0024,g2/a1/hr|Getränk|idx:239|lv|MEANING_ERROR|gpt-5.6-luna,Getränk|idx:239,lv,a1.card.getraenk.native,dzēriens,Getränk,Пийте,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-hr-semantic-DISC-G2-A1-HR-L0003,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0003,"g2/a1/hr|Hand|idx:267|lv, study|MISTRANSLATION|gpt-5.6-luna",Hand|idx:267,"lv, study",a1.card.a1-hand-study.native,plauksta,Hand,dlan,,HIGH,"lv, study",SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-hr-multi-G2A1P3-HR-0114,FLAGGED,TARGET_LANGUAGE,hr,G2A1P3-HR-0114,g2/a1/hr|a1-sicher|a1.card.a1-sicher.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-sicher,a1.card.a1-sicher.study.translation,a1.card.a1-sicher.study.translation,drošs • noteikti,drošs • noteikti,Безопасно • Разбира се,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-hr-missing-DISC-G2-A1-HR-L0015,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0015,g2/a1/hr|Esslöffel|idx:168|lv|WRONG_LANGUAGE|gpt-5.6-luna,Esslöffel|idx:168,lv,a1.card.essloeffel.native,ēdamkarote,Esslöffel,Лажица,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-hr-grammar_ortho-G2A1P3-HR-0090,FLAGGED,TARGET_LANGUAGE,hr,G2A1P3-HR-0090,g2/a1/hr|a1-liegen|a1.card.a1-liegen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-liegen,a1.card.a1-liegen.study.translation,a1.card.a1-liegen.study.translation,atrasties • gulēt,atrasties • gulēt,Бъдете • Спете,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-hr-other-DISC-G2-A1-HR-L0020,FLAGGED,TARGET_LANGUAGE,hr,DISC-G2-A1-HR-L0020,g2/a1/hr|Brötchen|idx:113|lv|MISTRANSLATION|gpt-5.6-luna,Brötchen|idx:113,lv,a1.card.broetchen.native,maizīte,Brötchen,Kurvo,,CRITICAL,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-hu-wrong_or_mixed-DISC-G2-A1-HU-L0003,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0003,g2/a1/hu|Wand|idx:639|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Wand|idx:639,lv,a1.card.wand.native,siena,Wand,Fal,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,FALSE_POSITIVE,Very short token/abbreviation may be acceptable unchanged across languages.,true
FLAG-hu-wrong_or_mixed-DISC-G2-A1-HU-L0020,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0020,g2/a1/hu|Tochter|idx:600|lv|WRONG_LANGUAGE|gpt-5.6-luna,Tochter|idx:600,lv,a1.card.tochter.native,meita,Tochter,Lánya,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-hu-semantic-DISC-G2-A1-HU-L0001,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0001,g2/a1/hu|werden|idx:657|lv/study|TRANSLATION_ERROR|gpt-5.6-luna,werden|idx:657,lv/study,a1.card.a1-werden.native,kļūt,werden,Válni,,CRITICAL,lv/study,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-hu-semantic-DISC-G2-A1-HU-L0002,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0002,g2/a1/hu|klein|idx:6|study.examples[1].lv; study.examples[2].lv; study.important[0]|MISTRANSLATION|gpt-5.6-luna,klein|idx:6,study.examples[1].lv; study.examples[2].lv; study.important[0],a1.card.a1-klein-study.study.examples[1].native,Bērns vēl ir mazs.,Bērns vēl ir mazs.,Kicsi a szoba.,,HIGH,study.examples[1].lv; study.examples[2].lv; study.important[0],SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-hu-multi-G2A1P3-HU-0006,FLAGGED,TARGET_LANGUAGE,hu,G2A1P3-HU-0006,g2/a1/hu|a1-an|a1.card.a1-an.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-an,a1.card.a1-an.study.translation,a1.card.a1-an.study.translation,pie,pie,A • A felszínen • A szélén,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-hu-missing-DISC-G2-A1-HU-L0004,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0004,g2/a1/hu|Land|idx:351|study|OMISSION|gpt-5.6-luna,Land|idx:351,study,a1.card.a1-land.study.comparison[0].example,Deutschland ist ein Land.,Deutschland ist ein Land.,Németország egy ország.,,MEDIUM,study,MISSING_OR_UNTRANSLATED,FALSE_POSITIVE,Finding claims missing/untranslated but staging contains a non-empty target value.,true
FLAG-hu-grammar_ortho-DISC-G2-A1-HU-L0002,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0002,g2/a1/hu|Sommer|idx:565|lv|POS_MISMATCH|gpt-5.6-luna,Sommer|idx:565,lv,a1.card.sommer.native,vasara,Sommer,Nyári,,HIGH,lv,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-hu-other-DISC-G2-A1-HU-L0005,FLAGGED,TARGET_LANGUAGE,hu,DISC-G2-A1-HU-L0005,g2/a1/hu|lang|idx:352|study.explanation|SOURCE_CONTAMINATION|gpt-5.6-luna,lang|idx:352,study.explanation,a1.card.a1-lang.study.explanation[0],"Galvenā doma: lang telpiski nozīmē garš, laika ziņā nozīmē ilgs.","Galvenā doma: lang telpiski nozīmē garš, laika ziņā nozīmē ilgs.","Fő gondolat: lang térben azt jelenti, hogy hosszú, időben hosszú.",,MEDIUM,study.explanation,CONTENT_CORRUPTION_OR_UNRELATED,LIKELY_REAL_ERROR,Other bucket (CONTENT_CORRUPTION_OR_UNRELATED) flagged with resolvable staging context.,true
FLAG-is-wrong_or_mixed-DISC-G2-A1-IS-L0002,FLAGGED,TARGET_LANGUAGE,is,DISC-G2-A1-IS-L0002,"g2/a1/is|halten|idx:265|lv, study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna",halten|idx:265,"lv, study",a1.card.a1-halten.native,turēt,halten,Hoidma • Peatama,,HIGH,"lv, study",WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-is-wrong_or_mixed-DISC-G2-A1-IS-L0020,FLAGGED,TARGET_LANGUAGE,is,DISC-G2-A1-IS-L0020,g2/a1/is|dreimal|idx:145|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna,dreimal|idx:145,lv,a1.card.dreimal.native,trīsreiz,dreimal,Kolm Korda,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-is-semantic-DISC-G2-A1-IS-L0015,FLAGGED,TARGET_LANGUAGE,is,DISC-G2-A1-IS-L0015,g2/a1/is|Esslöffel|idx:168|lv|MISTRANSLATION|gpt-5.6-luna,Esslöffel|idx:168,lv,a1.card.essloeffel.native,ēdamkarote,Esslöffel,Supilusika sin,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-is-semantic-DISC-G2-A1-IS-L0017,FLAGGED,TARGET_LANGUAGE,is,DISC-G2-A1-IS-L0017,g2/a1/is|Spiel|idx:571|lv|MEANING_ERROR|gpt-5.6-luna,Spiel|idx:571,lv,a1.card.spiel.native,spēle,Spiel,Beløp,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-is-multi-G2A1P3-IS-0018,FLAGGED,TARGET_LANGUAGE,is,G2A1P3-IS-0018,g2/a1/is|a1-dass|a1.card.a1-dass.study.comparison[1].meaning|MULTI_TRANSLATION|deterministic/multi-translation,a1-dass,a1.card.a1-dass.study.comparison[1].meaning,a1.card.a1-dass.study.comparison[1].meaning,jo • tāpēc ka,jo • tāpēc ka,Sest • Det er derfor et,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
