sequence,language,key,lvSource,current,ownerStatus,newValue,reason
"144","lb","notices.returnedToStudy","Atgriezts mācīšanās režīmā.","Atgriezts mācīšanās režīmā.","LABOT","Zeréck an de Léiermodus gesat.","REAL_UNTRANSLATED"
"145","lb","notices.sessionArchived","Pēdējā sesija atzīmēta kā iemācīta.","Pēdējā sesija atzīmēta kā iemācīta.","LABOT","Déi lescht Sessioun gouf als geléiert markéiert.","REAL_UNTRANSLATED"
"146","lb","notices.sessionArchivedNext","Pēdējā sesija atzīmēta kā iemācīta. Ielādēta nākamā sesija.","Pēdējā sesija atzīmēta kā iemācīta. Ielādēta nākamā sesija.","LABOT","Déi lescht Sessioun gouf als geléiert markéiert. Déi nächst Sessioun gouf gelueden.","REAL_UNTRANSLATED"
"147","lb","notices.sessionMovedToKnown","Sesijas vārdi pārvietoti uz zināmajiem.","Sesijas vārdi pārvietoti uz zināmajiem.","LABOT","D'Wierder aus der Sessioun goufen bei déi bekannt Wierder geréckelt.","REAL_UNTRANSLATED"
"148","lb","notices.sessionReloaded","Sesija ielādēta no jauna ar jauktu secību.","Sesija ielādēta no jauna ar jauktu secību.","LABOT","D'Sessioun gouf an enger gemëschter Reiefolleg nei gelueden.","REAL_UNTRANSLATED"
"149","lb","notices.showingKnown","Rādām zināmās kartītes.","Rādām zināmās kartītes.","LABOT","Déi bekannt Kaarte ginn ugewisen.","REAL_UNTRANSLATED"
"150","lb","notices.showingLastSession","Rādām pēdējo pabeigto sesiju.","Rādām pēdējo pabeigto sesiju.","LABOT","Déi lescht ofgeschloss Sessioun gëtt ugewisen.","REAL_UNTRANSLATED"
"151","lb","notices.showingProblems","Rādām problemātiskos vārdus.","Rādām problemātiskos vārdus.","LABOT","D'Problemwierder ginn ugewisen.","REAL_UNTRANSLATED"
"152","lb","notices.showingTimeReview","Rādām: {label}.","Rādām: {label}.","LABOT","Ugewisen: {label}.","REAL_UNTRANSLATED"
"153","lb","notices.spellingOff","Pareizrakstības režīms izslēgts.","Pareizrakstības režīms izslēgts.","LABOT","De Rechtschreiwungsmodus ass ausgeschalt.","REAL_UNTRANSLATED"
"154","lb","notices.spellingOn","Pareizrakstības režīms ieslēgts.","Pareizrakstības režīms ieslēgts.","LABOT","De Rechtschreiwungsmodus ass ageschalt.","REAL_UNTRANSLATED"
"155","lb","notices.verbMarkedKnown","Darbības vārds atzīmēts kā zināms.","Darbības vārds atzīmēts kā zināms.","LABOT","D'Verb gouf als bekannt markéiert.","REAL_UNTRANSLATED"
"156","lb","notices.verbShuffleOff","Darbības vārdu jaukšana izslēgta.","Darbības vārdu jaukšana izslēgta.","LABOT","D'Mësche vun de Verben ass ausgeschalt.","REAL_UNTRANSLATED"
"157","lb","notices.verbShuffleOn","Darbības vārdu jaukšana ieslēgta.","Darbības vārdu jaukšana ieslēgta.","LABOT","D'Mësche vun de Verben ass ageschalt.","REAL_UNTRANSLATED"
"158","lb","plural.wordOne","vārds","vārds","LABOT","Wuert","REAL_UNTRANSLATED"
"159","lb","plural.wordsFew","vārdi","vārdi","LABOT","Wierder","REAL_UNTRANSLATED"
"160","lb","plural.wordsMany","vārdi","vārdi","LABOT","Wierder","REAL_UNTRANSLATED"
"161","lb","progress.verbsHeading","Darbības vārdi","Darbības vārdi","LABOT","Verben","REAL_UNTRANSLATED"
"162","lb","restore.ariaLabel","Apstiprināt visu progressa dzēšanu","Apstiprināt visu progressa dzēšanu","LABOT","D'Läsche vum ganze Fortschrëtt bestätegen","REAL_UNTRANSLATED"
"163","lb","restore.warning","Uzmanību! Viss iemācītais progress un vārdu vēsture tiks pilnībā nodzēsta pa nullēm.","Uzmanību! Viss iemācītais progress un vārdu vēsture tiks pilnībā nodzēsta pa nullēm.","LABOT","Opgepasst! De ganze Léierfortschrëtt an d'Geschicht vun de Wierder ginn definitiv geläscht an op null zeréckgesat.","REAL_UNTRANSLATED"
"164","lb","review.knownReviewDone","Zināmo vārdu pārskatīšana pabeigta.","Zināmo vārdu pārskatīšana pabeigta.","LABOT","D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.","REAL_UNTRANSLATED"
"165","lb","review.monthCount","Šomēnes iemācīti: {count} {words}","Šomēnes iemācīti: {count} {words}","LABOT","Dëse Mount geléiert: {count} {words}","REAL_UNTRANSLATED"
"166","lb","review.monthDone","Mēneša pārskats pabeigts.","Mēneša pārskats pabeigts.","LABOT","D'Mountsiwwersiicht ass ofgeschloss.","REAL_UNTRANSLATED"
"167","lb","review.monthEmpty","Nav iemācītu vārdu mēneša pārskatam.","Nav iemācītu vārdu mēneša pārskatam.","LABOT","Et gëtt keng geléiert Wierder fir d'Mountsiwwersiicht.","REAL_UNTRANSLATED"
"168","lb","review.monthLabel","Mēneša pārskats","Mēneša pārskats","LABOT","Mountsiwwersiicht","REAL_UNTRANSLATED"
"169","lb","review.weekCount","Šonedēļ iemācīti: {count} {words}","Šonedēļ iemācīti: {count} {words}","LABOT","Dës Woch geléiert: {count} {words}","REAL_UNTRANSLATED"
"170","lb","review.weekDone","Nedēļas pārskats pabeigts.","Nedēļas pārskats pabeigts.","LABOT","D'Wocheniwwersiicht ass ofgeschloss.","REAL_UNTRANSLATED"
"171","lb","review.weekEmpty","Nav iemācītu vārdu nedēļas pārskatam.","Nav iemācītu vārdu nedēļas pārskatam.","LABOT","Et gëtt keng geléiert Wierder fir d'Wocheniwwersiicht.","REAL_UNTRANSLATED"
"172","lb","review.weekLabel","Nedēļas pārskats","Nedēļas pārskats","LABOT","Wocheniwwersiicht","REAL_UNTRANSLATED"
"173","lb","spelling.missingChar","trūkst: {char}","trūkst: {char}","LABOT","feelt: {char}","REAL_UNTRANSLATED"
"174","lb","spelling.noVerbTask","Šim darbības vārdam nav pareizrakstības uzdevuma.","Šim darbības vārdam nav pareizrakstības uzdevuma.","LABOT","Et gëtt keng Rechtschreiwungsübung fir dëst Verb.","REAL_UNTRANSLATED"
"175","lb","study.hints.tapToOpenExplanation","Klikšķini uz kartītes, lai atvērtu skaidrojumu.","Klikšķini uz kartītes, lai atvērtu skaidrojumu.","LABOT","Klick op d'Kaart, fir d'Erklärung opzemaachen.","REAL_UNTRANSLATED"
"176","lb","study.hints.tapToRevealGerman","Klikšķini uz kartītes, lai redzētu vācu vārdu.","Klikšķini uz kartītes, lai redzētu vācu vārdu.","LABOT","Klick op d'Kaart, fir dat däitscht Wuert ze gesinn.","REAL_UNTRANSLATED"
"177","lb","study.minimal.noteLabel","Norāde:","Norāde:","LABOT","Hiweis:","REAL_UNTRANSLATED"
"178","lb","study.sections.comparison","Salīdzinājums","Salīdzinājums","LABOT","Verglach","REAL_UNTRANSLATED"
"179","lb","study.sections.comparisonBadge","SALĪDZINĀJUMA KARTĪTE","SALĪDZINĀJUMA KARTĪTE","LABOT","VERGLÄICHSKAART","REAL_UNTRANSLATED"
"180","lb","study.sections.comparisonFocus","Svarīgs salīdzinājums","Svarīgs salīdzinājums","LABOT","Wichtege Verglach","REAL_UNTRANSLATED"
"181","lb","study.sections.examples","Piemēri","Piemēri","LABOT","Beispiller","REAL_UNTRANSLATED"
"182","lb","study.sections.important","Svarīgi","Svarīgi","LABOT","Wichteg","REAL_UNTRANSLATED"
"183","lb","study.sections.mainIdea","Galvenā doma","Galvenā doma","LABOT","Haaptiddi","REAL_UNTRANSLATED"
"184","lb","study.sections.mistakes","Tipiskās kļūdas","Tipiskās kļūdas","LABOT","Typesch Feeler","REAL_UNTRANSLATED"
"185","lb","study.table.example","Piemērs","Piemērs","LABOT","Beispill","REAL_UNTRANSLATED"
"186","lb","study.table.mainMeaning","Galvenā nozīme","Galvenā nozīme","LABOT","Haaptbedeitung","REAL_UNTRANSLATED"
"187","lb","study.table.meaning","Nozīme","Nozīme","LABOT","Bedeitung","REAL_UNTRANSLATED"
"188","lb","study.table.word","Vārds","Vārds","LABOT","Wuert","REAL_UNTRANSLATED"
"189","lb","tools.problemFull","Problemātiskie vārdi","Problemātiskie vārdi","LABOT","Problemwierder","REAL_UNTRANSLATED"
"190","lb","tools.problemWithCount","Problemātiskie vārdi ({count})","Problemātiskie vārdi ({count})","LABOT","Problemwierder ({count})","REAL_UNTRANSLATED"
"191","lb","tools.spellingFull","Pareizrakstība","Pareizrakstība","LABOT","Rechtschreiwung","REAL_UNTRANSLATED"
"192","lb","verb.guessInfinitive","Uzmini infinitīvu","Uzmini infinitīvu","LABOT","Erréit den Infinitiv","REAL_UNTRANSLATED"
"193","lb","verb.guessPastParticiple","Uzmini pagātnes divdabi","Uzmini pagātnes divdabi","LABOT","Erréit de Partizip II","REAL_UNTRANSLATED"
"194","lb","verb.hintTapAnswer","Klikšķini uz kartītes, lai redzētu atbildi.","Klikšķini uz kartītes, lai redzētu atbildi.","LABOT","Klick op d'Kaart, fir d'Äntwert ze gesinn.","REAL_UNTRANSLATED"
"195","lb","verb.hintTapSwitch","Klikšķini uz kartītes, lai pārslēgtu formu.","Klikšķini uz kartītes, lai pārslēgtu formu.","LABOT","Klick op d'Kaart, fir d'Form ze wiesselen.","REAL_UNTRANSLATED"
"196","lb","verb.imperfectIndicative","Imperfekts - Indikatīvs","Imperfekts - Indikatīvs","LABOT","Imperfekt – Indikativ","REAL_UNTRANSLATED"
"197","lb","verb.imperfectSubjunctive","Imperfekts - Konjunktīvs","Imperfekts - Konjunktīvs","LABOT","Imperfekt – Konjunktiv","REAL_UNTRANSLATED"
"198","lb","verb.infinitive","Infinitīvs","Infinitīvs","LABOT","Infinitiv","REAL_UNTRANSLATED"
"199","lb","verb.noShuffleForms","Šim darbības vārdam nav pietiekami daudz formu jaukšanai.","Šim darbības vārdam nav pietiekami daudz formu jaukšanai.","LABOT","Dëst Verb huet net genuch Forme fir ze mëschen.","REAL_UNTRANSLATED"
"200","lb","verb.pastParticiple","Pagātnes divdabis","Pagātnes divdabis","LABOT","Partizip II","REAL_UNTRANSLATED"
"201","lb","verb.writeInfinitive","Uzraksti infinitīvu","Uzraksti infinitīvu","LABOT","Schreif den Infinitiv","REAL_UNTRANSLATED"
"202","lb","verb.writePastParticiple","Uzraksti pagātnes divdabi","Uzraksti pagātnes divdabi","LABOT","Schreif de Partizip II","REAL_UNTRANSLATED"
