language,key,category,lvSource,current,detail
lb,kurss.lessonItems.5.menuDesc,NEEDS_OWNER_REVIEW,"Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, akuzatīvs, sitzen, fragen un -in galotne.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.5.title,NEEDS_OWNER_REVIEW,Lekcija 5,Lekcija 5,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.6.menuDesc,NEEDS_OWNER_REVIEW,"Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.6.title,NEEDS_OWNER_REVIEW,Lekcija 6,Lekcija 6,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.7.menuDesc,NEEDS_OWNER_REVIEW,"Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Pavēles izteiksme, uzrunas forma un daudzskaitlis.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.7.title,NEEDS_OWNER_REVIEW,Lekcija 7,Lekcija 7,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.8.menuDesc,NEEDS_OWNER_REVIEW,"Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.8.title,NEEDS_OWNER_REVIEW,Lekcija 8,Lekcija 8,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.9.menuDesc,NEEDS_OWNER_REVIEW,"Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.9.title,NEEDS_OWNER_REVIEW,Lekcija 9,Lekcija 9,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessons,NEEDS_OWNER_REVIEW,Lekcijas,Lekcijas,Nav droši klasificējams automātiski
lb,kurss.panelLabel,NEEDS_OWNER_REVIEW,Kurss,Kurss,Nav droši klasificējams automātiski
lb,kurss.pronunciation,NEEDS_OWNER_REVIEW,Izruna,Izruna,Nav droši klasificējams automātiski
lb,kurss.sections.grammar,NEEDS_OWNER_REVIEW,Gramatika,Gramatika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.tipTitle,NEEDS_OWNER_REVIEW,Padoms,Padoms,Nav droši klasificējams automātiski
lb,kurss.title,NEEDS_OWNER_REVIEW,Kurss,Kurss,Nav droši klasificējams automātiski
lb,menu.course,NEEDS_OWNER_REVIEW,Kurss,Kurss,Nav droši klasificējams automātiski
lb,modes.easy,NEEDS_OWNER_REVIEW,Viegls,Viegls,Nav droši klasificējams automātiski
lb,progress.courseHeading,NEEDS_OWNER_REVIEW,Kurss,Kurss,Nav droši klasificējams automātiski
lb,settings.appLanguage,NEEDS_OWNER_REVIEW,Lietotnes valoda,Lietotnes valoda,Nav droši klasificējams automātiski
lb,spelling.writeAnswer,NEEDS_OWNER_REVIEW,Ieraksti atbildi,Ieraksti atbildi,Nav droši klasificējams automātiski
lb,study.minimal.formsLabel,NEEDS_OWNER_REVIEW,Formas:,Formas:,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,study.minimal.pluralLabel,NEEDS_OWNER_REVIEW,DAUDZSK.,DAUDZSK.,Nav droši klasificējams automātiski
lb,study.minimal.tipLabel,NEEDS_OWNER_REVIEW,Padoms:,Padoms:,Nav droši klasificējams automātiski
lb,study.sections.explanation,NEEDS_OWNER_REVIEW,Skaidrojums,Skaidrojums,Nav droši klasificējams automātiski
lb,study.sections.remember,NEEDS_OWNER_REVIEW,Atceries,Atceries,Nav droši klasificējams automātiski
lb,study.sections.tip,NEEDS_OWNER_REVIEW,Padoms,Padoms,Nav droši klasificējams automātiski
lb,study.table.describes,NEEDS_OWNER_REVIEW,Raksturo,Raksturo,Nav droši klasificējams automātiski
lb,study.table.translation,NEEDS_OWNER_REVIEW,Tulkojums,Tulkojums,Nav droši klasificējams automātiski
lb,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,tools.spellingShort,NEEDS_OWNER_REVIEW,Rakst.,Rakst.,Nav droši klasificējams automātiski
lb,verb.guessImperfect,NEEDS_OWNER_REVIEW,Uzmini imperfektu,Uzmini imperfektu,Nav droši klasificējams automātiski
lb,verb.present,NEEDS_OWNER_REVIEW,Tagadne,Tagadne,Nav droši klasificējams automātiski
lb,verb.translationPrefix,NEEDS_OWNER_REVIEW,Tulkojums:,Tulkojums:,Nav droši klasificējams automātiski
lb,verb.writeImperfect,NEEDS_OWNER_REVIEW,Uzraksti imperfektu,Uzraksti imperfektu,Nav droši klasificējams automātiski
it,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
it,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
es,study.minimal.formsLabel,NEEDS_OWNER_REVIEW,Formas:,Formas:,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
es,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
is,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
is,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
